,year,mmwr_week,Reporting Area,"Meningococcal diseases, invasive, all serogroups current week","Meningococcal diseases, invasive, all serogroups previous 52 weeks median ","Meningococcal diseases, invasive, all serogroups previous 52 weeks maximum ","Meningococcal diseases, invasive, all serogroups cummulative for 2006","Meningococcal diseases, invasive, all serogroups cummulative for 2005","Meningococcal diseases, invasive, serogroup unknown current week","Meningococcal diseases, invasive, serogroup unknown previous 52 weeks median ","Meningococcal diseases, invasive, serogroup unknown previous 52 weeks maximum ","Meningococcal diseases, invasive, serogroup unknown cummulative for 2006","Meningococcal diseases, invasive, serogroup unknown cummulative for 2005",Pertussis current week,Pertussis previous 52 weeks median ,Pertussis previous 52 weeks maximum ,Pertussis cummulative for 2006,Pertussis cummulative for 2005
58,2006,4,W. Va.,0,0,1,0,0,0,0,1,0,0,0,0,12,0,0
59,2006,4,E.S. CENTRAL,0,1,4,2,3,0,1,4,2,1,1,8,25,9,34
60,2006,4,Ala.,0,0,1,0,0,0,0,1,0,0,0,1,9,4,12
61,2006,4,Ky.,0,0,3,1,1,0,0,3,1,1,0,3,10,2,12
62,2006,4,Miss.,0,0,1,0,0,0,0,1,0,0,0,1,4,1,2
63,2006,4,Tenn.,0,0,2,1,2,0,0,1,1,0,1,4,17,2,8
64,2006,4,W.S. CENTRAL,0,2,6,2,7,0,0,5,2,2,0,37,111,9,14
65,2006,4,Ark.,0,0,3,1,1,0,0,2,1,0,0,5,19,3,2
66,2006,4,La.,0,0,3,1,4,0,0,1,1,1,0,0,3,0,3
67,2006,4,Okla.,0,0,3,0,1,0,0,3,0,0,0,0,0,0,0
68,2006,4,Tex.,0,0,4,0,1,0,0,3,0,1,0,30,99,6,9
69,2006,4,MOUNTAIN,0,2,7,7,5,0,1,5,3,4,20,76,143,160,327
70,2006,4,Ariz.,0,0,5,0,1,0,0,5,0,0,0,15,86,0,9
71,2006,4,Colo.,0,0,3,6,4,0,0,2,2,4,0,24,55,96,173
72,2006,4,Idaho,0,0,2,0,0,0,0,2,0,0,3,3,19,9,18
73,2006,4,Mont.,0,0,0,0,0,0,0,0,0,0,5,8,58,12,88
74,2006,4,Nev.,0,0,2,0,0,0,0,1,0,0,0,0,6,0,2
75,2006,4,N. Mex.,0,0,2,0,0,0,0,2,0,0,0,3,9,1,21
76,2006,4,Utah,0,0,2,1,0,0,0,1,1,0,11,12,35,38,11
77,2006,4,Wyo.,0,0,0,0,0,0,0,0,0,0,1,0,4,4,5
78,2006,4,PACIFIC,6,4,28,23,25,4,3,13,16,13,6,59,171,15,402
79,2006,4,Alaska,0,0,1,0,0,0,0,1,0,0,2,1,11,5,1
80,2006,4,Calif.,3,2,11,14,11,3,2,11,14,11,0,31,146,0,275
81,2006,4,Hawaii,0,0,2,0,2,0,0,1,0,1,0,3,10,1,13
82,2006,4,Oreg.,0,0,4,5,12,0,0,2,1,1,1,9,31,6,107
83,2006,4,Wash.,3,0,25,4,0,1,0,11,1,0,3,12,59,3,6
