,year,mmwr_week,Reporting Area,"Meningococcal disease, All serogroups cummulative for 2005","Meningococcal disease, All serogroups cummulative for 2004","Meningococcal disease, Serogroup A, C, Y, and W-135 cummulative for 2005","Meningococcal disease, Serogroup A, C, Y, and W-135 cummulative for 2004","Meningococcal disease, Serogroup B cummulative for 2005","Meningococcal disease, Serogroup B cummulative for 2004","Meningococcal disease, Other serogroup cummulative for 2005","Meningococcal disease, Other serogroup cummulative for 2004","Meningococcal disease, Serogroup unknown cummulative for 2005","Meningococcal disease, Serogroup unknown cummulative for 2004"
82,2005,5,Amer. Samoa,0,0,0,0,0,0,0,0,0,0
83,2005,5,C.N.M.I.,0,0,0,0,0,0,0,0,0,0
17,2005,6,UNITED STATES,101,228,11,17,6,7,0,0,84,204
18,2005,6,NEW ENGLAND,11,7,0,0,0,0,0,0,11,7
19,2005,6,Maine,1,2,0,0,0,0,0,0,1,2
20,2005,6,N.H.,1,0,0,0,0,0,0,0,1,0
21,2005,6,Vt.,3,1,0,0,0,0,0,0,3,1
22,2005,6,Mass.,5,4,0,0,0,0,0,0,5,4
23,2005,6,R.I.,0,0,0,0,0,0,0,0,0,0
24,2005,6,Conn.,1,0,0,0,0,0,0,0,1,0
25,2005,6,MID. ATLANTIC,19,32,7,10,2,3,0,0,10,19
26,2005,6,Upstate N.Y.,6,8,1,2,1,1,0,0,4,5
27,2005,6,N.Y. City,1,7,0,0,0,0,0,0,1,7
28,2005,6,N.J.,3,4,0,0,0,0,0,0,3,4
29,2005,6,Pa.,9,13,6,8,1,2,0,0,2,3
30,2005,6,E.N. CENTRAL,7,28,2,5,1,1,0,0,4,22
31,2005,6,Ohio,3,16,0,3,1,1,0,0,2,12
32,2005,6,Ind.,2,5,0,0,0,0,0,0,2,5
33,2005,6,Ill.,0,1,0,0,0,0,0,0,0,1
34,2005,6,Mich.,2,2,2,2,0,0,0,0,0,0
35,2005,6,Wis.,0,4,0,0,0,0,0,0,0,4
36,2005,6,W.N. CENTRAL,6,9,0,0,0,1,0,0,6,8
37,2005,6,Minn.,0,1,0,0,0,0,0,0,0,1
38,2005,6,Iowa,1,1,0,0,0,1,0,0,1,0
39,2005,6,Mo.,4,4,0,0,0,0,0,0,4,4
40,2005,6,N. Dak.,0,0,0,0,0,0,0,0,0,0
41,2005,6,S. Dak.,0,1,0,0,0,0,0,0,0,1
42,2005,6,Nebr.,0,1,0,0,0,0,0,0,0,1
43,2005,6,Kans.,1,1,0,0,0,0,0,0,1,1
44,2005,6,S. ATLANTIC,20,39,1,0,2,1,0,0,17,38
