,model_name,weigth,date_forecast,forecast_window,past_months
0,arima,0.0,2008-12-31,4m,2
1,eakf_model1,0.9999999987240896,2008-12-31,4m,2
2,eakf_model2,1.2759102821165476e-09,2008-12-31,4m,2
3,eakf_model3,5.667938591524836e-40,2008-12-31,4m,2
0,arima,0.0,2008-12-31,5m,2
1,eakf_model1,0.9999999990889854,2008-12-31,5m,2
2,eakf_model2,4.929521396009615e-83,2008-12-31,5m,2
3,eakf_model3,9.110145480702955e-10,2008-12-31,5m,2
0,arima,0.0,2008-12-31,6m,2
1,eakf_model1,8.736056139581771e-10,2008-12-31,6m,2
2,eakf_model2,1.2445510668038584e-91,2008-12-31,6m,2
3,eakf_model3,0.9999999991263944,2008-12-31,6m,2
0,arima,1.3645019496062162e-223,2009-01-31,1m,2
1,eakf_model1,1.595066617949087e-12,2009-01-31,1m,2
2,eakf_model2,0.9999999999984048,2009-01-31,1m,2
3,eakf_model3,1.0530004811038031e-16,2009-01-31,1m,2
0,arima,0.0,2009-01-31,2m,2
