eval_horizon,mae,error,wis,type,frsct_date,method
1m,4.55064275117001,4.55064275117001,12.024706209800625,imd_incidence,2015-05-31,arima
2m,5.2395904365329296,5.2395904365329296,13.078984907042498,imd_incidence,2015-05-31,arima
3m,5.80257299832057,5.80257299832057,13.905671990324256,imd_incidence,2015-05-31,arima
4m,5.58406427921439,5.58406427921439,13.709341997943637,imd_incidence,2015-05-31,arima
5m,5.252959047750681,5.252959047750681,13.422614159797385,imd_incidence,2015-05-31,arima
6m,4.389376186142926,4.365555560108209,12.9950519476608,imd_incidence,2015-05-31,arima
1m,5.273333333333332,5.0,9.371006097560974,imd_incidence,2015-05-31,eakf_model1
2m,5.848333333333333,5.5,10.181646341463416,imd_incidence,2015-05-31,eakf_model1
3m,6.341111111111111,6.0,11.000650406504064,imd_incidence,2015-05-31,eakf_model1
4m,6.200833333333334,6.0,10.77014481707317,imd_incidence,2015-05-31,eakf_model1
5m,5.975333333333333,5.8,10.45083231707317,imd_incidence,2015-05-31,eakf_model1
6m,5.06888888888889,4.833333333333333,9.559341971544715,imd_incidence,2015-05-31,eakf_model1
1m,3.573333333333334,3.0,6.552057926829266,imd_incidence,2015-05-31,eakf_model2
2m,4.328333333333334,4.0,7.740876524390243,imd_incidence,2015-05-31,eakf_model2
3m,5.0311111111111115,4.833333333333333,8.820635162601626,imd_incidence,2015-05-31,eakf_model2
4m,4.92,4.75,8.66248856707317,imd_incidence,2015-05-31,eakf_model2
5m,4.789333333333333,4.6,8.472551829268294,imd_incidence,2015-05-31,eakf_model2
6m,4.026111111111111,3.8333333333333335,7.857700711382111,imd_incidence,2015-05-31,eakf_model2
1m,5.763333333333334,6.0,10.113094512195124,imd_incidence,2015-05-31,eakf_model3
2m,6.666666666666667,6.5,11.603612804878049,imd_incidence,2015-05-31,eakf_model3
3m,7.294444444444444,7.0,12.724857723577232,imd_incidence,2015-05-31,eakf_model3
4m,7.006666666666667,6.75,12.232606707317075,imd_incidence,2015-05-31,eakf_model3
5m,6.554,6.4,11.421753048780486,imd_incidence,2015-05-31,eakf_model3
6m,5.4750000000000005,5.333333333333333,10.299618902439024,imd_incidence,2015-05-31,eakf_model3
1m,2.8922153110704194,2.8922153110704194,9.147239053783073,imd_incidence,2015-05-31,sarima
2m,3.0978463628263553,3.0978463628263553,9.187369524900143,imd_incidence,2015-05-31,sarima
